-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.467ms         0.72%      32.467ms     352.897us           0 B           0 B           0 B           0 B            92  
                                              aten::exp         0.02%       1.479ms         0.58%      41.690ms     453.149us      32.387ms         0.72%      55.619ms     604.555us           0 B           0 B      46.00 GB      46.00 GB            92  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.387ms         0.72%      32.387ms     352.032us           0 B           0 B           0 B           0 B            92  
                                  Lazy Function Loading         0.04%       2.720ms         0.04%       2.720ms      32.000us      31.948ms         0.71%      31.948ms     375.862us           0 B           0 B           0 B           0 B            85  
              nvjet_tst_256x128_64x4_1x2_h_bz_coopA_NNT         0.00%       0.000us         0.00%       0.000us       0.000us      26.567ms         0.59%      26.567ms     288.777us           0 B           0 B           0 B           0 B            92  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      24.887ms         0.55%      24.887ms     270.515us           0 B           0 B           0 B           0 B            92  
                                    aten::tanh_backward         0.01%     501.319us         0.29%      20.431ms     222.075us      23.998ms         0.53%      23.998ms     260.852us           0 B           0 B      23.00 GB      23.00 GB            92  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.998ms         0.53%      23.998ms     260.852us           0 B           0 B           0 B           0 B            92  
                                               aten::ge         0.02%       1.223ms         0.69%      49.678ms     539.976us      20.220ms         0.45%      20.220ms     219.779us           0 B           0 B      11.50 GB      11.50 GB            92  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.220ms         0.45%      20.220ms     219.779us           0 B           0 B           0 B           0 B            92  
                                        _FusedRMSNormFn         0.01%     771.032us         0.24%      17.454ms     758.873us      19.529ms         0.43%      22.084ms     960.161us           0 B           0 B       5.79 GB           0 B            23  
void cc_lm_head_loss::(anonymous namespace)::rms_nor...         0.00%       0.000us         0.00%       0.000us       0.000us      19.529ms         0.43%      19.529ms     849.073us           0 B           0 B           0 B           0 B            23  
                                             aten::tanh         0.02%       1.114ms         0.32%      23.115ms     251.249us      16.368ms         0.36%      27.916ms     303.435us           0 B           0 B      23.00 GB      23.00 GB            92  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.368ms         0.36%      16.368ms     177.912us           0 B           0 B           0 B           0 B            92  
                         aten::embedding_dense_backward         0.03%       1.851ms         0.85%      60.776ms       2.642ms       8.886ms         0.20%       9.106ms     395.933us           0 B           0 B     184.00 MB      -1.70 GB            23  
                                              aten::bmm         0.46%      32.773ms         0.54%      38.941ms      28.218us       8.450ms         0.19%       8.508ms       6.165us           0 B           0 B       3.15 GB       3.15 GB          1380  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       7.561ms         0.17%       7.561ms      32.872us           0 B           0 B           0 B           0 B           230  
                                           aten::gather         0.01%     389.409us         0.02%       1.100ms      47.818us       7.298ms         0.16%       8.249ms     358.655us           0 B           0 B           0 B           0 B            23  
void at::native::vectorized_gather_kernel<16, int>(c...         0.00%       0.000us         0.00%       0.000us       0.000us       7.298ms         0.16%       7.298ms     317.316us           0 B           0 B           0 B           0 B            23  
void at::native::(anonymous namespace)::compute_grad...         0.00%       0.000us         0.00%       0.000us       0.000us       6.026ms         0.13%       6.026ms     261.987us           0 B           0 B           0 B           0 B            23  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.812ms         0.11%       4.812ms       1.902us           0 B           0 B           0 B           0 B          2530  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       4.498ms         0.10%       4.498ms       4.445us           0 B           0 B           0 B           0 B          1012  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.856ms         0.09%       3.856ms      40.169us           0 B           0 B           0 B           0 B            96  
                                              aten::cat         0.04%       2.985ms         0.13%       9.056ms      32.575us       3.740ms         0.08%       4.099ms      14.743us           0 B           0 B       1.40 GB       1.40 GB           278  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.239ms         0.07%       3.239ms       1.422us           0 B           0 B           0 B           0 B          2277  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.156s
Self CUDA time total: 4.526s
